Disease,Description,Precautions
Drug Reaction,Reaksi obat yang merugikan (ADR) adalah cedera yang disebabkan oleh konsumsi obat. ADR dapat terjadi setelah satu dosis atau penggunaan obat yang berkepanjangan atau akibat kombinasi dua atau lebih obat.,"1. Pola Makan Seimbang : Jaga kesehatan dengan makan makanan bergizi dan hindari makanan tinggi gula dan karbohidrat. Biar tubuh tetap sehat dan fit!

2. Olahraga Rutin: Jangan lupa olahraga secara teratur. Aktivitas fisik bisa bantu jaga kesehatan dan kurangi reaksi obat.

3. Cek Kesehatan Rutin: Rajin cek kadar gula darah dan kunjungi dokter secara berkala. Ini penting buat pantau reaksi obat dan kesehatanmu secara keseluruhan."
Malaria,Malaria adalah penyakit menular yang disebabkan oleh parasit protozoa dari keluarga Plasmodium yang dapat ditularkan melalui gigitan nyamuk Anopheles atau jarum yang terkontaminasi atau transfusi. Malaria falciparum adalah jenis yang paling mematikan.,"1. Minum Obat Sesuai Anjuran Dokter: Konsultasikan dengan dokter dan patuhi jadwal minum obat dari dokter agar cepat sembuh.

2. Penyemprotan Residual Dalam Ruangan (IRS): Lakukan IRS untuk kurangi populasi nyamuk dalam ruangan dan cegah penularan malaria.

3. Manajemen Sumber Larva: Evaluasi dan terapkan manajemen sumber larva untuk target tempat berkembang biaknya nyamuk, sehingga bisa kurangi kepadatan nyamuk."
Allergy,"Alergi adalah respons sistem kekebalan tubuh terhadap zat asing yang biasanya tidak berbahaya bagi tubuh Anda. Mereka dapat termasuk makanan tertentu, serbuk sari, atau bulu hewan peliharaan. Tugas sistem kekebalan tubuh Anda adalah menjaga Anda tetap sehat dengan melawan patogen berbahaya.","1. Konsumsi Makanan Alami : Makan makanan segar dan alami, hindari makanan olahan yang banyak bahan pengawetnya.

2. Baca Informasi Alergi : Selalu cek label makanan buat hindari bahan yang bisa bikin alergi.

3. Hindari Kontaminasi Silang : Gunakan peralatan dapur yang berbeda buat makanan alergenik biar aman."
Hypothyroidism,"Hipotiroidisme, juga disebut tiroid kurang aktif, adalah gangguan sistem endokrin di mana kelenjar tiroid tidak menghasilkan cukup hormon tiroid.","1. Minum Obat Sesuai Anjuran : Minum Levothyroxine agar hormon tiroid kembali normal dan gejala hipotiroidisme hilang.

2. Cek Kadar TSH Rutin : Rutin cek kadar TSH agar bisa tentuin dosis obat yang tepat.

3. Tangani Penyebab Utama : Atasi juga penyebab utamanya seperti tiroiditis autoimun agar pengobatan lebih efektif."
Psoriasis,"Psoriasis adalah gangguan kulit umum yang membentuk bercak merah tebal dan benjolan yang ditutupi dengan sisik perak. Mereka bisa muncul di mana saja, tetapi kebanyakan muncul di kulit kepala, siku, lutut, dan punggung bawah. Psoriasis tidak bisa ditularkan dari orang ke orang. Kadang-kadang terjadi pada anggota keluarga yang sama.","1. Gunakan Pengobatan Topikal : Pakai krim atau salep untuk psoriasis ringan sampai sedang agar peradangan berkurang dan pertumbuhan sel kulit melambat.

2. Pantau Fungsi Hati dan Ginjal : Rutin cek kesehatan hati dan ginjal jika pakai obat sistemik, dan sesuaikan dosis sesuai respon tubuh.

3. Gaya Hidup Sehat : Jaga pola makan seimbang dan olahraga rutin agar gejala psoriasis tidak parah."
GERD,"Penyakit refluks gastroesofageal (GERD) adalah gangguan pencernaan yang mempengaruhi sfingter esofagus bagian bawah (LES), cincin otot antara esofagus dan lambung. Banyak orang, termasuk wanita hamil, menderita mulas atau gangguan pencernaan asam yang disebabkan oleh GERD.","1. Hindari Makanan Tinggi Gula dan Karbohidrat : Jangan makan sebelum tidur dan coba tidur dengan kepala sedikit terangkat (bantal yang sedikit tinggi)

2. Rutin Cek Kesehatan : Terutama cek kadar gula darah kalau pakai obat yang bisa mempengaruhi glukosa.

3. Makan Teratur dan Porsi Kecil: Makan dalam porsi kecil tapi sering, dan jangan langsung tidur setelah makan. Kurangi makan makanan pedas, asam, dan berlemak biar gak bikin asam lambung naik."
Chronic cholestasis,"Penyakit kolestatik kronis, baik terjadi pada masa bayi, masa kanak-kanak, atau dewasa, ditandai dengan transportasi asam empedu yang cacat dari hati ke usus, yang disebabkan oleh kerusakan utama pada epitel bilier dalam banyak kasus.","1. Rutin Cek Fungsi Hati : Selalu pantau kadar bilirubin dan enzim hati. Kalau ada gejala yang makin parah, dokter mungkin akan sesuaikan dosis obat atau tambahkan terapi lain agar kondisi tetap terkontrol.

2. Jaga Pola Makan Sehat : Makan makanan rendah lemak dan tinggi serat, hindari alkohol dan makanan yang bisa ganggu hati. Jangan lupa olahraga teratur agar tetap sehat.

3. Belajar dan Berkomunikasi : Pelajari lebih lanjut tentang kolestasis, ngobrol terbuka dengan dokter, dan bergabung dengan kelompok dukungan pasien agar bisa hadapi tantangan dengan lebih baik."
hepatitis A,Hepatitis A adalah infeksi hati yang sangat menular yang disebabkan oleh virus hepatitis A. Virus ini adalah salah satu dari beberapa jenis virus hepatitis yang menyebabkan peradangan dan mempengaruhi kemampuan hati Anda untuk berfungsi.,"1. Cukup Istirahat : Istirahat yang cukup agar tubuh bisa melawan infeksi dan memulihkan energi yang hilang.

2. Minum Banyak Air dan Makan Sehat : Minum banyak cairan agar tubuh tetap terhidrasi, dan makan makanan yang seimbang dan bergizi agar kesehatan hati terjaga. Hindari alkohol dan makanan berlemak tinggi.

3. Jaga Kebersihan dan Vaksinasi : Cuci tangan rutin, pastikan makanan dimasak dengan baik, dan hindari air yang tidak bersih. Diskusikan dengan dokter tentang vaksinasi hepatitis A agar terlindungi dari infeksi."
Osteoarthristis,"Osteoartritis adalah bentuk artritis yang paling umum, yang mempengaruhi jutaan orang di seluruh dunia. Ini terjadi ketika tulang rawan pelindung yang melindungi ujung tulang Anda aus seiring waktu.","1. Atur Nyeri dan Peradangan : Minum obat seperti ibuprofen, naproxen, atau paracetamol agar nyeri dan peradangan berkurang. Kalau nyeri parah, dokter mungkin akan kasih resep obat lebih kuat.

2. Olahraga Ringan dan Terapi Fisik : Lakukan latihan ringan seperti jalan kaki atau berenang dan latihan kekuatan otot untuk jaga mobilitas dan kurangi nyeri. Terapi fisik juga bisa bantu perkuat otot di sekitar sendi yang terkena.

3. Hindari Beban Berlebihan : Jangan lakukan aktivitas yang bikin sendi terlalu terbebani. Pakai alat bantu seperti tongkat atau penyangga kalau perlu agar tekanan pada sendi berkurang."
(vertigo) Paroymsal  Positional Vertigo,Benign paroxysmal positional vertigo (BPPV) adalah salah satu penyebab vertigo yang paling umum. Ini menyebabkan sensasi tiba-tiba bahwa Anda atau lingkungan di sekitar Anda berputar. BPPV memicu episode singkat pusing yang dapat berkisar dari ringan hingga sangat parah.,"1. Lakukan Canalith Repositioning Procedure (CRP) : Duduk di tepi meja, putar kepala 45 derajat ke kanan, lalu baringkan tubuh. Putar kepala 90 derajat ke arah sisi yang tidak terlibat dan gulung ke sisi tersebut. Kembali ke posisi duduk.

2. Coba Liberatory (Semont Maneuver) : Duduk di tepi meja, baringkan tubuh ke sisi yang terlibat dengan kepala diputar 45 derajat ke sisi yang tidak terlibat. Tahan 1,5 menit, lalu ayunkan tubuh ke sisi yang tidak terlibat dengan cepat. Tahan lagi 1,5 menit, lalu kembali duduk. Ulangi tiga kali.

3. Latihan Brandt-Daroff : Duduk di tepi tempat tidur, baringkan tubuh ke sisi dengan kepala diputar 45 derajat ke langit-langit. Tahan 30 detik atau sampai pusing hilang, kembali duduk. Lakukan sisi sebaliknya. Ulangi lima set tiga kali sehari sampai gejala hilang dua hari berturut-turut."
Hypoglycemia,"Hipoglikemia adalah kondisi di mana kadar gula darah (glukosa) Anda lebih rendah dari normal. Glukosa adalah sumber energi utama tubuh Anda. Hipoglikemia sering terkait dengan pengobatan diabetes. Namun, obat lain dan berbagai kondisi — yang kebanyakan jarang terjadi — juga dapat menyebabkan gula darah rendah pada orang yang tidak menderita diabetes.","1. Pantau Gula Darah: Rutin cek gula darah agar bisa segera bertindak kalau kadar gula darah turun terlalu rendah.

2. Bawa Camilan Manis: Selalu bawa camilan manis seperti permen, jus, atau tablet glukosa buat atasi gejala hipoglikemia.

3. Ikuti Aturan 15-15: Kalau gula darah turun, konsumsi 15 gram karbohidrat, tunggu 15 menit, dan cek lagi. Ulangi sampai gula darah stabil."
Acne,"Acne vulgaris adalah pembentukan komedo, papula, pustula, nodul, dan/atau kista akibat penyumbatan dan peradangan unit pilosebasea (folikel rambut dan kelenjar sebaceous yang menyertainya). Jerawat berkembang di wajah dan bagian atas tubuh. Kondisi ini paling sering mempengaruhi remaja.","1. Cuci Muka dengan Lembut : Cuci muka maksimal dua kali sehari dan setelah berkeringat. Pakai pembersih yang lembut dan bebas alkohol.

2. Pakai Produk yang Tepat : Gunakan produk perawatan kulit yang lembut dan bebas alkohol. Hindari produk yang bisa bikin kulit kering atau iritasi. Direkomendasikan untuk menggunakan obat totol jerawat

3. Jaga Kebersihan Rambut : Keramas secara teratur agar minyak rambut tidak bikin jerawat di dahi.
"
Diabetes,"Diabetes adalah penyakit yang terjadi ketika kadar glukosa darah, juga disebut gula darah, terlalu tinggi. Glukosa darah adalah sumber energi utama tubuh dan berasal dari makanan yang Anda makan. Insulin, hormon yang diproduksi oleh pankreas, membantu glukosa dari makanan masuk ke sel-sel tubuh untuk digunakan sebagai energi.","1. Olahraga dan Makan Sehat : Rajin olahraga dan makan makanan sehat buat cegah diabetes tipe 2 dan komplikasinya. Hindari merokok dan jaga tekanan darah serta kadar lipid.

2. Deteksi Dini : Diagnosis awal penting biar diabetes bisa dikelola lebih baik. Pastikan akses mudah ke tes glukosa darah di layanan kesehatan.

3. Kontrol Rutin : Jaga gula darah lewat diet, aktivitas fisik, dan obat jika perlu. Rutin cek tekanan darah, lipid, serta screening mata, ginjal, dan kaki buat deteksi dini komplikasi. "
Impetigo,"Impetigo adalah infeksi kulit yang umum dan sangat menular, terutama menyerang bayi dan anak-anak. Impetigo biasanya muncul sebagai luka merah di wajah, terutama di sekitar hidung dan mulut anak, serta di tangan dan kaki. Luka-luka ini pecah dan membentuk kerak berwarna madu.","1. Jaga Kebersihan Luka : Selalu bersihkan luka dengan sabun dan air, lalu aplikasikan salep antibiotik dan tutup dengan perban untuk mencegah infeksi.

2. Hindari Kontak Langsung : Jangan sentuh atau garuk luka impetigo, dan hindari kontak kulit langsung dengan orang lain sampai luka sembuh.

3. Cuci Barang-Barang Pribadi : Cuci pakaian, handuk, dan sprei yang telah digunakan dengan air panas untuk mencegah penyebaran infeksi."
Hypertension,"Hipertensi (HTN atau HT), juga dikenal sebagai tekanan darah tinggi (HBP), adalah kondisi medis jangka panjang di mana tekanan darah di arteri secara konsisten tinggi. Tekanan darah tinggi biasanya tidak menimbulkan gejala.","1. Makan Sehat : Kurangi makanan asin, tinggi lemak, dan trans fat. Perbanyak buah dan sayur, serta hindari alkohol dan rokok.

2. Olahraga Teratur : Lakukan aktivitas fisik seperti jalan kaki, lari, atau berenang minimal 150 menit per minggu untuk jaga tekanan darah tetap stabil.

3. Rutin Cek Tekanan Darah : Cek tekanan darah secara berkala dan ikuti saran dokter untuk pengobatan dan pengelolaan tekanan darah."
Peptic ulcer diseae,"Penyakit tukak lambung (PUD) adalah kondisi di mana terjadi luka pada lapisan dalam lambung, bagian pertama dari usus kecil, atau kadang-kadang esofagus bagian bawah. Luka di lambung disebut tukak lambung, sedangkan yang berada di bagian pertama usus kecil disebut tukak duodenum.","1. Hindari NSAID : Hindari obat antiinflamasi nonsteroid (NSAID) seperti ibuprofen dan aspirin yang bisa memperparah tukak lambung.

2. Pola Makan Sehat : Konsumsi makanan sehat yang rendah asam dan hindari makanan pedas, berlemak, dan asam yang bisa mengiritasi lambung.

3. Kelola Stres : Praktikkan teknik relaksasi seperti meditasi atau yoga untuk mengurangi stres, karena stres bisa memperburuk gejala tukak lambung."
Dimorphic hemorrhoids(piles),"Hemorrhoid adalah struktur vaskular di saluran anus. Dalam kondisi normal, mereka membantu mengendalikan buang air besar. Namun, saat mengalami peradangan atau pembengkakan, mereka menjadi wasir atau dikenal sebagai hemoroid. Hemoroid bisa menyebabkan rasa sakit, gatal, dan pendarahan.","1. Konsumsi Serat Tinggi : Makan banyak makanan berserat seperti buah, sayur, dan biji-bijian agar buang air besar lebih lancar dan tidak mengejan.

2. Minum Air yang Cukup : Pastikan minum cukup air setiap hari untuk mencegah sembelit dan mengurangi tekanan pada hemorrhoid.

3. Jangan Duduk Terlalu Lama : Hindari duduk terlalu lama, terutama di toilet. Jika perlu, gunakan bantal duduk untuk mengurangi tekanan pada area hemorrhoid."
Common Cold,"Pilek atau flu adalah infeksi virus pada hidung dan tenggorokan (saluran pernapasan atas). Biasanya tidak berbahaya, meskipun bisa terasa sangat mengganggu. Banyak jenis virus yang dapat menyebabkan pilek.","1. Vaksinasi Tahunan: Dapatkan vaksin flu setiap tahun agar terlindungi dari influenza musiman.

2. Jaga Kebersihan: Rutin cuci tangan, tutup mulut dan hidung saat batuk atau bersin, dan buang tisu dengan benar.

3. Istirahat di Rumah: Jika merasa tidak enak badan, istirahat di rumah untuk menghindari menulari orang lain."
